index,secID,ticker,secShortName,exchangeCD,tradeDate,preClosePrice,openPrice,highestPrice,lowestPrice,closePrice,turnoverVol
316,000796.XSHE,796,凯撒旅游,XSHE,2017/12/1,12.92,12.99,13,12.76,12.81,3818282
317,000797.XSHE,797,中国武夷,XSHE,2017/12/1,11.71,11.72,11.97,11.62,11.82,6148608
318,000798.XSHE,798,中水渔业,XSHE,2017/12/1,8.47,8.43,8.6,8.43,8.53,1121638
319,000799.XSHE,799,酒鬼酒,XSHE,2017/12/1,27,27.16,27.36,26.71,26.91,5922674
320,000800.XSHE,800,一汽轿车,XSHE,2017/12/1,10.6,10.58,11.25,10.55,10.89,29445955
321,000801.XSHE,801,四川九洲,XSHE,2017/12/1,6.41,6.41,6.45,6.38,6.43,5176017
322,000802.XSHE,802,北京文化,XSHE,2017/12/1,13.36,13.36,13.48,13.28,13.39,3768101
323,000803.XSHE,803,*ST金宇,XSHE,2017/12/1,23.52,23.53,24.18,23.31,23.96,156135
324,000806.XSHE,806,银河生物,XSHE,2017/12/1,10.76,0,0,0,10.76,0
325,000807.XSHE,807,云铝股份,XSHE,2017/12/1,9.51,9.46,9.55,9.17,9.27,66621377
326,000809.XSHE,809,*ST新城,XSHE,2017/12/1,3.64,3.62,3.71,3.62,3.71,3913958
327,000810.XSHE,810,创维数字,XSHE,2017/12/1,8.88,8.94,8.94,8.82,8.86,2141766
328,000811.XSHE,811,冰轮环境,XSHE,2017/12/1,8.31,8.31,8.51,8.31,8.5,4598435
329,000812.XSHE,812,陕西金叶,XSHE,2017/12/1,7.56,7.51,7.63,7.39,7.61,8714941
330,000813.XSHE,813,德展健康,XSHE,2017/12/1,9.53,9.37,9.87,9.37,9.57,14316274
331,000815.XSHE,815,美利云,XSHE,2017/12/1,17.1,17.44,17.9,17.26,17.5,1810447
332,000816.XSHE,816,智慧农业,XSHE,2017/12/1,3.64,3.64,3.68,3.6,3.67,17326408
333,000818.XSHE,818,方大化工,XSHE,2017/12/1,11.38,11.38,11.47,11.36,11.41,2979522
334,000819.XSHE,819,岳阳兴长,XSHE,2017/12/1,12.72,12.79,12.89,12.65,12.87,1307650
335,000820.XSHE,820,神雾节能,XSHE,2017/12/1,28.96,0,0,0,28.96,0
336,000821.XSHE,821,京山轻机,XSHE,2017/12/1,13.02,12.42,14.3,12.42,13.44,9063574
337,000822.XSHE,822,山东海化,XSHE,2017/12/1,10.27,10.25,10.34,10.16,10.19,19604122
338,000823.XSHE,823,超声电子,XSHE,2017/12/1,14.9,14.9,15.42,14.86,15.31,12964365
339,000825.XSHE,825,太钢不锈,XSHE,2017/12/1,5.24,5.23,5.28,5.15,5.24,63983179
340,000826.XSHE,826,启迪桑德,XSHE,2017/12/1,34.73,34.68,34.88,33.45,33.49,10276135
341,000828.XSHE,828,东莞控股,XSHE,2017/12/1,11.2,11.18,11.38,11.18,11.3,1883165
342,000829.XSHE,829,天音控股,XSHE,2017/12/1,9.24,9.17,9.3,9.17,9.3,1979370
343,000830.XSHE,830,鲁西化工,XSHE,2017/12/1,16.4,16.45,16.64,15.71,15.95,66071248
344,000831.XSHE,831,五矿稀土,XSHE,2017/12/1,12.28,12.21,12.36,12.2,12.32,7154266
345,000833.XSHE,833,贵糖股份,XSHE,2017/12/1,6.86,6.86,6.95,6.81,6.93,2047263
346,000835.XSHE,835,长城动漫,XSHE,2017/12/1,8.18,8.18,8.25,8.13,8.24,1961431
347,000836.XSHE,836,鑫茂科技,XSHE,2017/12/1,5.06,0,0,0,5.06,0
348,000837.XSHE,837,秦川机床,XSHE,2017/12/1,6.15,6.18,6.24,6.15,6.21,3256252
